"count","slice_num","gene","coord_x","coord_y"
1,29,"Tac2",8.11569371978253,0.87079671684756
1,29,"Slc17a7",8.11569371978253,0.87079671684756
5,29,"Slc17a7",3.93614324228646,1.50532104799918
3,29,"Slc17a7",4.42286844121106,5.97448077354067
1,29,"Pvalb",8.15851678153911,4.02211963530919
2,29,"Slc17a7",8.15851678153911,4.02211963530919
1,29,"Vip",8.15851678153911,4.02211963530919
65,29,"Pvalb",8.14740773599817,3.84954268706046
1,29,"Tac2",8.14740773599817,3.84954268706046
1,29,"Vip",8.14740773599817,3.84954268706046
4,29,"Pvalb",7.84331399791232,3.81821950424712
1,29,"Slc17a7",7.84331399791232,3.81821950424712
53,29,"Pvalb",2.72271707518443,3.54461414267495
1,29,"Tac2",2.72271707518443,3.54461414267495
1,29,"Vip",2.72271707518443,3.54461414267495
5,29,"Slc17a7",9.41917964773064,3.56265781300298
4,29,"Slc17a7",9.25622619504198,2.98427502124618
2,29,"Slc17a7",9.29286991069949,4.31534942517202
1,29,"Pvalb",1.62804992082864,2.94153931331969
2,29,"Slc17a7",1.62804992082864,2.94153931331969
78,29,"Pvalb",8.19204739338219,3.89843401518119
3,29,"Slc17a7",8.19204739338219,3.89843401518119
12,29,"Pvalb",3.87855244578062,5.09132654630534
73,29,"Slc17a7",3.87855244578062,5.09132654630534
26,29,"Slc17a7",7.57014055218345,4.93896113016147
2,29,"Pvalb",3.902314794733,5.07350048259591
27,29,"Slc17a7",3.902314794733,5.07350048259591
29,29,"Slc17a7",7.84610923514752,4.82088741538046
11,29,"Slc17a7",4.12224672600842,5.03940368878914
34,29,"Slc17a7",3.33171316319312,4.86449579030092
38,29,"Slc17a7",3.58428975859945,4.82765273302018
1,29,"Vip",3.58428975859945,4.82765273302018
12,29,"Slc17a7",7.02462536645877,5.00265749510418
3,29,"Pvalb",3.70190628370705,5.02865144067878
43,29,"Slc17a7",3.70190628370705,5.02865144067878
41,29,"Slc17a7",6.85789489733408,5.00466919295443
55,29,"Slc17a7",7.16975052834888,5.07230642029424
1,29,"Pvalb",5.68553677494644,4.74653119913637
11,29,"Slc17a7",5.68553677494644,4.74653119913637
1,29,"Pvalb",5.49590048285712,4.90852933573939
12,29,"Slc17a7",5.49590048285712,4.90852933573939
1,29,"Vip",5.49590048285712,4.90852933573939
5,29,"Slc17a7",5.31981301850584,4.67139166059985
1,29,"Slc17a7",1.83514346308534,1.84296417351253
1,29,"Pvalb",9.0424842493696,1.88664226515692
20,29,"Slc17a7",9.0424842493696,1.88664226515692
36,29,"Slc17a7",9.49754811480268,1.78548640199597
1,29,"Pvalb",1.94983855812531,1.59925214795902
8,29,"Slc17a7",1.94983855812531,1.59925214795902
1,29,"Vip",1.94983855812531,1.59925214795902
32,29,"Slc17a7",9.21772364155069,1.30833766275357
44,29,"Slc17a7",9.61533050090068,1.87485635999847
1,29,"Tac2",9.58277091001772,1.82063624173217
32,29,"Slc17a7",9.58277091001772,1.82063624173217
5,29,"Vip",9.58277091001772,1.82063624173217
2,29,"Tac2",4.35473464537698,5.95889083150461
1,29,"Pvalb",3.83396735783552,5.88929187604563
4,29,"Slc17a7",3.83396735783552,5.88929187604563
1,29,"Vip",3.1001665941133,5.66182536964117
1,29,"Pvalb",3.3328163297464,5.80587053902766
2,29,"Slc17a7",3.3328163297464,5.80587053902766
1,29,"Tac2",7.48272199748371,5.95833585320045
1,29,"Tac2",9.27955337388412,4.20151129104282
2,29,"Slc17a7",3.81814496921227,5.93603662565448
1,29,"Pvalb",3.55979480370083,5.84307172218569
2,29,"Slc17a7",3.55979480370083,5.84307172218569
1,29,"Slc17a7",2.31197457583962,5.01431142784065
1,29,"Tac2",2.93475830173327,5.61275355677784
1,29,"Slc17a7",2.93475830173327,5.61275355677784
1,29,"Pvalb",2.3581052456591,5.09852039499834
2,29,"Slc17a7",2.3581052456591,5.09852039499834
1,29,"Vip",2.3581052456591,5.09852039499834
1,29,"Pvalb",2.82159501490731,5.50623766919032
1,29,"Slc17a7",2.82159501490731,5.50623766919032
1,29,"Tac2",4.4190483965092,5.93628291341957
1,29,"Pvalb",3.17127139124372,5.68804527678904
1,29,"Slc17a7",9.01184733490954,4.70813463891013
4,29,"Pvalb",6.75878393942733,6.07355171514167
2,29,"Slc17a7",6.75878393942733,6.07355171514167
1,29,"Slc17a7",3.80691960783736,5.93470991650916
2,29,"Slc17a7",3.58462884859855,5.84324214029808
3,29,"Slc17a7",3.79969814519927,5.90450951079811
1,29,"Tac2",3.62569318950292,5.89233796880054
1,29,"Pvalb",2.78731680919344,5.48887832447591
1,29,"Slc17a7",2.78731680919344,5.48887832447591
1,29,"Vip",2.78731680919344,5.48887832447591
1,29,"Pvalb",3.77129379522241,5.90708087807418
1,29,"Slc17a7",3.77129379522241,5.90708087807418
