"count","bin","celltype","gene","mouse","cell_num","hemisphere","age"
0,100,"Glut","BCL11B","1","1527462100130100089","left","12"
0,100,"Glut","BCL11B","1","1527462100130100092","left","12"
0,100,"Glut","BCL11B","1","1527462100130100098","left","12"
1,97,"GABA","BCL11B","1","1527462100130100102","left","12"
0,97,"GABA","BCL11B","1","1527462100130100114","left","12"
0,100,"Glut","BCL11B","1","1527462100130100118","left","12"
0,97,"Glut","BCL11B","1","1527462100130100119","left","12"
0,98,"Glut","BCL11B","1","1527462100130100121","left","12"
1,99,"Glut","BCL11B","1","1527462100130100123","left","12"
0,99,"Glut","BCL11B","1","1527462100130100124","left","12"
0,99,"Glut","BCL11B","1","1527462100130100125","left","12"
0,96,"Glut","BCL11B","1","1527462100130100128","left","12"
0,96,"Glut","BCL11B","1","1527462100130100129","left","12"
0,96,"Glut","BCL11B","1","1527462100130100131","left","12"
0,96,"Glut","BCL11B","1","1527462100130100132","left","12"
1,96,"Glut","BCL11B","1","1527462100130100133","left","12"
0,98,"Glut","BCL11B","1","1527462100130100134","left","12"
0,98,"Glut","BCL11B","1","1527462100130100135","left","12"
0,98,"Glut","BCL11B","1","1527462100130100136","left","12"
0,99,"Glut","BCL11B","1","1527462100130100137","left","12"
0,94,"Glut","BCL11B","1","1527462100130100138","left","12"
0,96,"Glut","BCL11B","1","1527462100130100142","left","12"
0,98,"Glut","BCL11B","1","1527462100130100143","left","12"
0,95,"Glut","BCL11B","1","1527462100130100144","left","12"
0,98,"Glut","BCL11B","1","1527462100130100145","left","12"
0,93,"Glut","BCL11B","1","1527462100130100146","left","12"
0,96,"Glut","BCL11B","1","1527462100130100148","left","12"
0,97,"Glut","BCL11B","1","1527462100130100151","left","12"
0,96,"Glut","BCL11B","1","1527462100130100154","left","12"
0,98,"Glut","BCL11B","1","1527462100130100157","left","12"
0,94,"Glut","BCL11B","1","1527462100130100160","left","12"
0,94,"Glut","BCL11B","1","1527462100130100161","left","12"
0,95,"Glut","BCL11B","1","1527462100130100163","left","12"
0,93,"Glut","BCL11B","1","1527462100130100164","left","12"
0,95,"Glut","BCL11B","1","1527462100130100165","left","12"
1,96,"Glut","BCL11B","1","1527462100130100166","left","12"
0,93,"Glut","BCL11B","1","1527462100130100167","left","12"
0,95,"Glut","BCL11B","1","1527462100130100169","left","12"
0,95,"Glut","BCL11B","1","1527462100130100171","left","12"
0,92,"Glut","BCL11B","1","1527462100130100173","left","12"
0,94,"Glut","BCL11B","1","1527462100130100174","left","12"
0,91,"Glut","BCL11B","1","1527462100130100176","left","12"
0,92,"Glut","BCL11B","1","1527462100130100179","left","12"
0,94,"Glut","BCL11B","1","1527462100130100180","left","12"
0,93,"Glut","BCL11B","1","1527462100130100183","left","12"
0,98,"Glut","BCL11B","1","1527462100130100186","left","12"
0,90,"Glut","BCL11B","1","1527462100130100191","left","12"
0,90,"Glut","BCL11B","1","1527462100130100193","left","12"
0,92,"Glut","BCL11B","1","1527462100130100195","left","12"
0,93,"Glut","BCL11B","1","1527462100130100196","left","12"
0,90,"GABA","BCL11B","1","1527462100130100197","left","12"
0,97,"Glut","BCL11B","1","1527462100130100198","left","12"
0,93,"Glut","BCL11B","1","1527462100130100200","left","12"
0,89,"Glut","BCL11B","1","1527462100130100201","left","12"
0,92,"Glut","BCL11B","1","1527462100130100202","left","12"
0,96,"Glut","BCL11B","1","1527462100130100203","left","12"
0,92,"Glut","BCL11B","1","1527462100130100208","left","12"
0,92,"Glut","BCL11B","1","1527462100130100211","left","12"
0,93,"Glut","BCL11B","1","1527462100130100214","left","12"
0,93,"Glut","BCL11B","1","1527462100130200162","left","12"
0,100,"Glut","BCL11B","1","1527462100131100105","left","12"
0,99,"Glut","BCL11B","1","1527462100131100107","left","12"
0,98,"Glut","BCL11B","1","1527462100131100109","left","12"
0,98,"Glut","BCL11B","1","1527462100131100111","left","12"
0,97,"Glut","BCL11B","1","1527462100131100112","left","12"
0,98,"Glut","BCL11B","1","1527462100131100113","left","12"
0,97,"Glut","BCL11B","1","1527462100131100114","left","12"
0,97,"Glut","BCL11B","1","1527462100131100121","left","12"
0,96,"Glut","BCL11B","1","1527462100131100127","left","12"
3,100,"GABA","BCL11B","1","1527462100131100128","left","12"
1,95,"Glut","BCL11B","1","1527462100131100129","left","12"
0,95,"Glut","BCL11B","1","1527462100131100132","left","12"
0,65,"Glut","BCL11B","1","1527462100174100102","left","12"
0,62,"Glut","BCL11B","1","1527462100174100117","left","12"
0,62,"Glut","BCL11B","1","1527462100174100123","left","12"
1,59,"Glut","BCL11B","1","1527462100174100150","left","12"
3,56,"Glut","BCL11B","1","1527462100174100157","left","12"
0,58,"Glut","BCL11B","1","1527462100174100162","left","12"
0,58,"Glut","BCL11B","1","1527462100174100163","left","12"
0,56,"Glut","BCL11B","1","1527462100174100175","left","12"
0,52,"Glut","BCL11B","1","1527462100174100202","left","12"
1,52,"Glut","BCL11B","1","1527462100174100204","left","12"
0,52,"Glut","BCL11B","1","1527462100174100207","left","12"
0,52,"Glut","BCL11B","1","1527462100174100214","left","12"
0,51,"Glut","BCL11B","1","1527462100174100219","left","12"
0,76,"Glut","BCL11B","1","1527462100175100017","left","12"
0,80,"Glut","BCL11B","1","1527462100175100022","left","12"
0,80,"Glut","BCL11B","1","1527462100175100023","left","12"
0,79,"Glut","BCL11B","1","1527462100175100024","left","12"
1,78,"Glut","BCL11B","1","1527462100175100027","left","12"
0,77,"Glut","BCL11B","1","1527462100175100037","left","12"
1,80,"Glut","BCL11B","1","1527462100175100039","left","12"
0,77,"Glut","BCL11B","1","1527462100175100045","left","12"
0,75,"Glut","BCL11B","1","1527462100175100051","left","12"
0,77,"Glut","BCL11B","1","1527462100175100053","left","12"
0,77,"Glut","BCL11B","1","1527462100175100054","left","12"
0,72,"Glut","BCL11B","1","1527462100175100055","left","12"
0,78,"Glut","BCL11B","1","1527462100175100056","left","12"
0,75,"Glut","BCL11B","1","1527462100175100057","left","12"
0,72,"Glut","BCL11B","1","1527462100175100063","left","12"
0,75,"Glut","BCL11B","1","1527462100175100064","left","12"
0,75,"Glut","BCL11B","1","1527462100175100067","left","12"
0,73,"Glut","BCL11B","1","1527462100175100070","left","12"
0,72,"Glut","BCL11B","1","1527462100175100073","left","12"
0,75,"Glut","BCL11B","1","1527462100175100074","left","12"
0,70,"Glut","BCL11B","1","1527462100175100078","left","12"
0,72,"Glut","BCL11B","1","1527462100175100085","left","12"
0,69,"Glut","BCL11B","1","1527462100175100093","left","12"
0,69,"GABA","BCL11B","1","1527462100175100095","left","12"
0,70,"Glut","BCL11B","1","1527462100175100097","left","12"
0,71,"Glut","BCL11B","1","1527462100175100102","left","12"
1,70,"Glut","BCL11B","1","1527462100175100105","left","12"
1,67,"Glut","BCL11B","1","1527462100175100106","left","12"
1,68,"GABA","BCL11B","1","1527462100175100112","left","12"
0,64,"Glut","BCL11B","1","1527462100175100122","left","12"
0,65,"Glut","BCL11B","1","1527462100175100123","left","12"
0,66,"Glut","BCL11B","1","1527462100175100128","left","12"
0,65,"Glut","BCL11B","1","1527462100175100130","left","12"
1,64,"Glut","BCL11B","1","1527462100175100135","left","12"
0,65,"Glut","BCL11B","1","1527462100175100136","left","12"
0,65,"Glut","BCL11B","1","1527462100175100138","left","12"
0,64,"Glut","BCL11B","1","1527462100175100140","left","12"
0,64,"Glut","BCL11B","1","1527462100175100142","left","12"
0,63,"Glut","BCL11B","1","1527462100175100149","left","12"
