"","parameter","estimate","CI.low","CI.high","p.value","p.value.adj","alpha.adj","significance"
"222","wfactor_slope_2_X_Rorb",0.0199106872081299,-0.398749104455455,0.966716714663497,0.955959069020867,2.8678772070626,0.0166666666666667,"ns"
"223","wfactor_point_3_X_Rorb",-0.337875633687361,-0.546872359733001,0.0370572964561284,0.000200642054574596,0.0294943820224656,0.000340136054421769,"*"
"224","wfactor_rate_3_X_Rorb",-0.320546706663935,-0.376571743398737,-0.298400049410476,0,0,0.000316455696202532,"***"
"225","wfactor_slope_3_X_Rorb",0.577750972207029,-0.44546796688206,5.12250029757101,0.551163723916533,14.3302568218299,0.00192307692307692,"ns"
"226","wfactor_point_4_X_Rorb",-0.389902159414731,-0.498019805646125,-0.0698758934356627,0,0,0.000318471337579618,"***"
"227","wfactor_rate_4_X_Rorb",-0.19640500105516,-0.264599698331546,-0.163019585169948,0,0,0.00032051282051282,"***"
"228","wfactor_slope_4_X_Rorb",0.823613961923535,-0.362046922241414,3.66332732561613,0.0858747993579454,6.35473515248796,0.000675675675675676,"ns"
"229","wfactor_point_1_X_Satb2",0.156523731069881,-0.254782848258045,0.413389454933386,0.177367576243981,10.1099518459069,0.00087719298245614,"ns"
"230","wfactor_rate_1_X_Satb2",0.267623236844475,0.260721894838413,0.274512220055206,0,0,0.00032258064516129,"***"
"231","wfactor_slope_1_X_Satb2",0.00636310271671563,0.000286284977241815,0.0175331622076636,0.0115369181380417,1.28059791332263,0.00045045045045045,"ns"
"232","wfactor_point_2_X_Satb2",-0.612875248104885,-0.889266010286206,0.0738844985634357,0.000300963081862005,0.0433386837881287,0.000347222222222222,"*"
"233","wfactor_rate_2_X_Satb2",0.226520315351712,0.204829709035996,0.239336473021269,0,0,0.000324675324675325,"***"
"234","wfactor_slope_2_X_Satb2",0.00289529406255043,-0.00510056240555612,0.0116697367060727,0.15529695024077,9.00722311396469,0.000862068965517241,"ns"
"235","wfactor_point_3_X_Satb2",-0.225024193259931,-0.44991458226264,0.311113672198626,0.121589085072231,7.90329052969502,0.000769230769230769,"ns"
"236","wfactor_rate_3_X_Satb2",-0.388500075182776,-0.404304059752107,-0.379241207647581,0,0,0.000326797385620915,"***"
"237","wfactor_slope_3_X_Satb2",0.0247364093432952,0.00266619067235761,0.0890156745016356,0.0176565008025682,1.81861958266452,0.000485436893203884,"ns"
"238","wfactor_point_4_X_Satb2",-0.141576331993679,-0.627022177450495,0.252356644016222,0.439807383627608,14.5136436597111,0.00151515151515152,"ns"
"239","wfactor_rate_4_X_Satb2",-0.314026456578893,-0.334323671365587,-0.306027446713112,0,0,0.000328947368421053,"***"
"240","wfactor_slope_4_X_Satb2",0.619516010200862,0.257267543036413,1.33156294371356,0.000902889245585903,0.120084269662925,0.00037593984962406,"ns"
